date,gvkey,weight
2026-03-01,COR,0.00392156862745098
2026-03-01,CAH,0.00392156862745098
2026-03-01,MCK,0.00392156862745098
2026-03-01,ABEV,0.00392156862745098
2026-03-01,ADM,0.00392156862745098
2026-03-01,EXC,0.00392156862745098
2026-03-01,MO,0.00392156862745098
2026-03-01,HCA,0.00392156862745098
2026-03-01,FMX,0.00392156862745098
2026-03-01,EIX,0.00392156862745098
2026-03-01,BTI,0.00392156862745098
2026-03-01,ABBV,0.00392156862745098
2026-03-01,AXIA,0.00392156862745098
2026-03-01,AMGN,0.00392156862745098
2026-03-01,ISRG,0.00392156862745098
2026-03-01,A,0.00392156862745098
2026-03-01,BMY,0.00392156862745098
2026-03-01,ETR,0.00392156862745098
2026-03-01,KR,0.00392156862745098
2026-03-01,KHC,0.00392156862745098
2026-03-01,DTE,0.00392156862745098
2026-03-01,MNST,0.00392156862745098
2026-03-01,DHR,0.00392156862745098
2026-03-01,GEHC,0.00392156862745098
2026-03-01,KMB,0.00392156862745098
2026-03-01,CEG,0.00392156862745098
2026-03-01,MDLN,0.00392156862745098
2026-03-01,HSY,0.00392156862745098
2026-03-01,MRK,0.00392156862745098
2026-03-01,MDLZ,0.00392156862745098
2026-03-01,CL,0.00392156862745098
2026-03-01,CCEP,0.00392156862745098
2026-03-01,KO,0.00392156862745098
2026-03-01,GSK,0.00392156862745098
2026-03-01,ED,0.00392156862745098
2026-03-01,EL,0.00392156862745098
2026-03-01,BUD,0.00392156862745098
2026-03-01,ES,0.00392156862745098
2026-03-01,CVS,0.00392156862745098
2026-03-01,KVUE,0.00392156862745098
2026-03-01,GILD,0.00392156862745098
2026-03-01,MDT,0.00392156862745098
2026-03-01,ATO,0.00392156862745098
2026-03-01,CI,0.00392156862745098
2026-03-01,FTS,0.00392156862745098
2026-03-01,DUK,0.00392156862745098
2026-03-01,FE,0.00392156862745098
2026-03-01,JNJ,0.00392156862745098
2026-03-01,AEE,0.00392156862745098
2026-03-01,ALNY,0.00392156862745098
2026-03-01,LLY,0.00392156862745098
2026-03-01,CNP,0.00392156862745098
2026-03-01,IDXX,0.00392156862745098
2026-03-01,EW,0.00392156862745098
2026-03-01,AEP,0.00392156862745098
2026-03-01,D,0.00392156862745098
2026-03-01,BSX,0.00392156862745098
2026-03-01,HUM,0.00392156862745098
2026-03-01,ALC,0.00392156862745098
2026-03-01,DEO,0.00392156862745098
2026-03-01,KDP,0.00392156862745098
2026-03-01,COHR,0.00392156862745098
2026-03-01,CRDO,0.00392156862745098
2026-03-01,NVDA,0.00392156862745098
2026-03-01,FLEX,0.00392156862745098
2026-03-01,ARM,0.00392156862745098
2026-03-01,JBL,0.00392156862745098
2026-03-01,META,0.00392156862745098
2026-03-01,CIEN,0.00392156862745098
2026-03-01,KLAC,0.00392156862745098
2026-03-01,ANET,0.00392156862745098
2026-03-01,FTNT,0.00392156862745098
2026-03-01,AMX,0.00392156862745098
2026-03-01,GLW,0.00392156862745098
2026-03-01,MPWR,0.00392156862745098
2026-03-01,MSFT,0.00392156862745098
